DateTime,AddedIPs,RemovedIPs
1532405546,18,16
1532407456,18,11
1532409631,17,18
1532411531,24,14
1532413465,24,18
1532415371,18,15
1532417292,20,15
1532419226,52,19
1532421150,32,25
1532423301,24,32
1532425224,21,27
1532427132,39,388
1532429064,21,0
1532430973,28,0
1532432907,29,0
1532434825,26,0
1532436731,35,0
1532438663,23,0
1532440574,27,1
1532442497,28,0
1532444417,26,0
1532446346,57,2
1532448254,20,0
1532450414,33,0
1532452354,40,0
1532454270,23,0
1532456178,26,0
1532458106,23,0
1532460016,15,0
1532462172,23,0
1532464100,17,0
1532466059,23,0
1532467948,18,0
1532469865,17,0
1532471783,49,0
1532473715,26,1
1532475614,41,0
1532477541,28,0
1532479470,36,0
1532481380,16,0
1532483298,21,0
1532485226,15,0
1532487140,11,0
1532489056,10,0
1532490980,23,0
1532492893,13,0
1532494890,13,0
1532496753,11,0
1532498908,30,0
1532500815,15,0
1532502736,19,0
1532504664,11,0
1532506569,25,1
1532508514,27,0
1532510427,35,0
1532512337,12,0
1532514265,12,2014
1532516169,32,31
1532518093,563,0
1532520058,58,27
1532521948,22,13
1532523861,0,26
1532525784,0,20
1532527697,0,26
1532529617,98,29
1532531800,138,27
1532533700,37,14
1532535866,45,22
1532537769,34,18
1532539726,27,15
1532541639,85,30
1532543544,20,18
1532545475,14,19
1532547646,47,32
1532549785,36,29
1532551694,19,25
1532553615,46,22
1532555533,19,21
1532557468,17,38
1532559379,20,29
1532561314,498,0
1532563234,20,25
1532565149,22,12
1532567062,16,24
1532568992,18,20
1532570913,32,25
1532572817,36,26
1532574746,21,21
1532576658,33,17
1532578587,15,17
1532580495,6,13
1532582437,17,21
1532584354,16,16
1532586260,29,21
1532588187,22,20
1532590094,22,20
1532592041,42,23
1532593955,11,25
1532596120,33,26
1532598012,12,13
1532599944,67,1188
1532601859,26,14
1532603795,512,0
1532605696,29,34
1532607640,27,40
1532609542,30,24
1532611452,30,14
1532613379,22,27
1532615553,33,18
1532617482,26,15
1532619391,41,22
1532621327,22,26
1532623228,34,17
1532625405,19,16
1532627309,17,14
1532629218,29,21
1532631389,44,19
1532634043,38,28
1532635936,20,23
1532637870,21,27
1532639789,42,39
1532641708,19,27
1532643607,13,23
1532646773,501,0
1532648668,29,32
1532650590,22,36
1532652505,22,23
1532654420,16,19
1532656356,42,25
1532658260,19,16
1532660171,23,17
1532662115,18,15
1532664039,25,24
1532665960,18,15
1532667865,15,14
1532669801,29,14
1532671704,22,19
1532673880,23,17
1532675778,22,24
1532677962,26,16
1532679867,20,24
1532681792,21,36
1532683945,19,37
1532685871,25,1387
1532687770,36,37
1532689718,588,0
1532691619,36,26
1532693562,23,15
1532695460,27,21
1532697383,48,22
1532699304,23,22
1532701304,21,39
1532703154,25,37
1532705058,32,33
1532706970,37,38
